location,price,type,bds,ba,area,zip_code,url,total_found
"2114 Big Cove Rd SE, Huntsville, AL 35801",355303,House for sale,4,3,2767,35801,https://www.zillow.com/homedetails/2114-Big-Cove-Rd-SE-Huntsville-AL-35801/2078168157_zpid/,119
"1004 Lexington St SE, Huntsville, AL 35801",609000,House for sale,4,3,3275,35801,https://www.zillow.com/homedetails/1004-Lexington-St-SE-Huntsville-AL-35801/92077094_zpid/,119
"1107 Clinton Ave E, Huntsville, AL 35801",495000,House for sale,3,3,2200,35801,https://www.zillow.com/homedetails/1107-Clinton-Ave-E-Huntsville-AL-35801/92108755_zpid/,119
"2252 Governors Bend Rd SE, Huntsville, AL 35801",789900,For sale by owner,4,5,5543,35801,https://www.zillow.com/homedetails/2252-Governors-Bend-Rd-SE-Huntsville-AL-35801/92149660_zpid/,119
"304 Westchester Ave SW, Huntsville, AL 35801",294900,For sale by owner,3,2,1721,35801,https://www.zillow.com/homedetails/304-Westchester-Ave-SW-Huntsville-AL-35801/92105492_zpid/,119
"300 Rhett Ave SW, Huntsville, AL 35801",269900,House for sale,3,2,1328,35801,https://www.zillow.com/homedetails/300-Rhett-Ave-SW-Huntsville-AL-35801/190795574_zpid/,119
"219 Drake Ave SW, Huntsville, AL 35801",199000,House for sale,4,3,2050,35801,https://www.zillow.com/homedetails/219-Drake-Ave-SW-Huntsville-AL-35801/92085483_zpid/,119
"1601 E Rison Ave NE, Huntsville, AL 35801",265000,House for sale,3,2,1706,35801,https://www.zillow.com/homedetails/1601-E-Rison-Ave-NE-Huntsville-AL-35801/92086344_zpid/,119
"520 Franklin St SE, Huntsville, AL 35801",975000,For sale by owner,4,4,3865,35801,https://www.zillow.com/homedetails/520-Franklin-St-SE-Huntsville-AL-35801/304165651_zpid/,119
"1004 Lexington St SE, Huntsville, AL 35801",609000,House for sale,4,3,3275,35801,https://www.zillow.com/homedetails/1004-Lexington-St-SE-Huntsville-AL-35801/92077094_zpid/,119
"2223 California St SE, Huntsville, AL 35801",204900,House for sale,3,2,2500,35801,https://www.zillow.com/homedetails/2223-California-St-SE-Huntsville-AL-35801/92148943_zpid/,119
"1622 Chandler Rd SE, Huntsville, AL 35801",650000,House for sale,4,5,4548,35801,https://www.zillow.com/homedetails/1622-Chandler-Rd-SE-Huntsville-AL-35801/92080893_zpid/,119
"2712 Westminister Way SE, Huntsville, AL 35801",419900,House for sale,5,4,3471,35801,https://www.zillow.com/homedetails/2712-Westminister-Way-SE-Huntsville-AL-35801/92090383_zpid/,119
"2224 Briarcliff Rd SE, Huntsville, AL 35801",409000,House for sale,5,4,4189,35801,https://www.zillow.com/homedetails/2224-Briarcliff-Rd-SE-Huntsville-AL-35801/92140672_zpid/,119
"3728 Railway Ave SE, Huntsville, AL 35801",559500,House for sale,4,3,3301,35801,https://www.zillow.com/homedetails/3728-Railway-Ave-SE-Huntsville-AL-35801/92120156_zpid/,119
"2201 Lytle St SE, Huntsville, AL 35801",897000,House for sale,5,4,5009,35801,https://www.zillow.com/homedetails/2201-Lytle-St-SE-Huntsville-AL-35801/92146974_zpid/,119
"46 SE Saint James Sq, Huntsville, AL 35801",550000,House for sale,3,4,3135,35801,https://www.zillow.com/homedetails/46-SE-Saint-James-Sq-Huntsville-AL-35801/2077843500_zpid/,119
"1702 Governors Dr SE, Huntsville, AL 35801",299485,House for sale,4,3,3135,35801,https://www.zillow.com/homedetails/1702-Governors-Dr-SE-Huntsville-AL-35801/92134495_zpid/,119
"304 Gates Ave SE, Huntsville, AL 35801",1050000,House for sale,3,2,3020,35801,https://www.zillow.com/homedetails/304-Gates-Ave-SE-Huntsville-AL-35801/92085554_zpid/,119
"1805 Wooddale Dr NE, Huntsville, AL 35801",319900,House for sale,4,4,2600,35801,https://www.zillow.com/homedetails/1805-Wooddale-Dr-NE-Huntsville-AL-35801/92099998_zpid/,119
"1417 Humes Ave NE, Huntsville, AL 35801",285000,House for sale,2,2,1213,35801,https://www.zillow.com/homedetails/1417-Humes-Ave-NE-Huntsville-AL-35801/92132423_zpid/,119
"2219 Georgian Dr SE, Huntsville, AL 35801",1375000,House for sale,4,5,5211,35801,https://www.zillow.com/homedetails/2219-Georgian-Dr-SE-Huntsville-AL-35801/92144486_zpid/,119
"3513 Carroll Cir SE, Huntsville, AL 35801",325000,For sale by owner,3,2,1464,35801,https://www.zillow.com/homedetails/3513-Carroll-Cir-SE-Huntsville-AL-35801/92096122_zpid/,119
"2214 Lytle St SW, Huntsville, AL 35801",475000,House for sale,4,,2503,35801,https://www.zillow.com/homedetails/2214-Lytle-St-SW-Huntsville-AL-35801/2078280854_zpid/,119
"2114 Big Cove Rd SE, Huntsville, AL 35801",355303,House for sale,4,3,2767,35801,https://www.zillow.com/homedetails/2114-Big-Cove-Rd-SE-Huntsville-AL-35801/2078168157_zpid/,119
"1113 Mccullough Ave NE, Huntsville, AL 35801",274900,House for sale,3,1,1321,35801,https://www.zillow.com/homedetails/1113-Mccullough-Ave-NE-Huntsville-AL-35801/92102828_zpid/,119
"2707 Boulder Cir SE, Huntsville, AL 35801",512000,House for sale,4,4,3414,35801,https://www.zillow.com/homedetails/2707-Boulder-Cir-SE-Huntsville-AL-35801/92177792_zpid/,119
"2 Old Chimney Rd SE, Huntsville, AL 35801",714900,House for sale,5,4,3851,35801,https://www.zillow.com/homedetails/2-Old-Chimney-Rd-SE-Huntsville-AL-35801/92100825_zpid/,119
"310 Shady Brook Dr SE, Huntsville, AL 35801",525000,House for sale,3,3,2929,35801,https://www.zillow.com/homedetails/310-Shady-Brook-Dr-SE-Huntsville-AL-35801/92108889_zpid/,119
"2252 Governors Bend Rd SE, Huntsville, AL 35801",789900,For sale by owner,4,5,5543,35801,https://www.zillow.com/homedetails/2252-Governors-Bend-Rd-SE-Huntsville-AL-35801/92149660_zpid/,119
"1311 Governors Dr SE, Huntsville, AL 35801",1100000,House for sale,5,7,6243,35801,https://www.zillow.com/homedetails/1311-Governors-Dr-SE-Huntsville-AL-35801/92159628_zpid/,119
"114 Dreger Ave SE, Huntsville, AL 35801",447500,House for sale,3,3,3285,35801,https://www.zillow.com/homedetails/114-Dreger-Ave-SE-Huntsville-AL-35801/92095948_zpid/,119
"22 Asbury Rd SE, Huntsville, AL 35801",1425000,House for sale,8,8,9010,35801,https://www.zillow.com/homedetails/22-Asbury-Rd-SE-Huntsville-AL-35801/92139932_zpid/,119
"1913 Parkhill Way SE, Huntsville, AL 35801",440000,House for sale,4,4,3720,35801,https://www.zillow.com/homedetails/1913-Parkhill-Way-SE-Huntsville-AL-35801/92167144_zpid/,119
"5 Saint Charles Rd SE, Huntsville, AL 35801",1500000,House for sale,5,6,7324,35801,https://www.zillow.com/homedetails/5-Saint-Charles-Rd-SE-Huntsville-AL-35801/92121794_zpid/,119
"1601 E Rison Ave NE, Huntsville, AL 35801",265000,House for sale,3,2,1706,35801,https://www.zillow.com/homedetails/1601-E-Rison-Ave-NE-Huntsville-AL-35801/92086344_zpid/,119
"603 Auburn Ave SW, Huntsville, AL 35801",650000,For sale by owner,4,4,3655,35801,https://www.zillow.com/homedetails/603-Auburn-Ave-SW-Huntsville-AL-35801/92154354_zpid/,119
"2401 Gallatin St SW, Huntsville, AL 35801",300000,For sale by owner,3,2,2500,35801,https://www.zillow.com/homedetails/2401-Gallatin-St-SW-Huntsville-AL-35801/92121272_zpid/,119
"8 Georgetta, Huntsville, AL 35801",779900,House for sale,5,5,4000,35801,https://www.zillow.com/homedetails/8-Georgetta-Huntsville-AL-35801/2094564000_zpid/,119
"114 Lincoln St NE, Huntsville, AL 35801",629900,Townhouse for sale,3,4,2884,35801,https://www.zillow.com/homedetails/114-Lincoln-St-NE-Huntsville-AL-35801/92088995_zpid/,119
"1305 Highland Ave SE, Huntsville, AL 35801",165000,For sale by owner,,,,35801,https://www.zillow.com/homedetails/1305-Highland-Ave-SE-Huntsville-AL-35801/92115048_zpid/,119
"2201 Colice Rd SE, Huntsville, AL 35801",699000,House for sale,4,4,3571,35801,https://www.zillow.com/homedetails/2201-Colice-Rd-SE-Huntsville-AL-35801/92122855_zpid/,119
"2206 Georgian Dr SE, Huntsville, AL 35801",624900,House for sale,4,5,3722,35801,https://www.zillow.com/homedetails/2206-Georgian-Dr-SE-Huntsville-AL-35801/92149240_zpid/,119
"416 Owens Dr SE, Huntsville, AL 35801",664900,House for sale,5,3,3440,35801,https://www.zillow.com/homedetails/416-Owens-Dr-SE-Huntsville-AL-35801/92109021_zpid/,119
"1309 Chandler Rd SE, Huntsville, AL 35801",998000,House for sale,4,5,6149,35801,https://www.zillow.com/homedetails/1309-Chandler-Rd-SE-Huntsville-AL-35801/92159728_zpid/,119
"36 Saint James Sq, Huntsville, AL 35801",660000,House for sale,5,4,4834,35801,https://www.zillow.com/homedetails/36-Saint-James-Sq-Huntsville-AL-35801/92118907_zpid/,119
"1500 Wells Ave SE, Huntsville, AL 35801",79900,For sale by owner,,,,35801,https://www.zillow.com/homedetails/1500-Wells-Ave-SE-Huntsville-AL-35801/92116533_zpid/,119
"214 Beirne Ave NW, Huntsville, AL 35801",55000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/214-Beirne-Ave-NW-Huntsville-AL-35801/95287268_zpid/,119
"106 Scenic Dr SE, Huntsville, AL 35801",548000,House for sale,3,3,2966,35801,https://www.zillow.com/homedetails/106-Scenic-Dr-SE-Huntsville-AL-35801/92133726_zpid/,119
"1513 Big Cove Rd SE, Huntsville, AL 35801",375000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/1513-Big-Cove-Rd-SE-Huntsville-AL-35801/92130315_zpid/,119
"3030 Cliffs Edge Cir, Huntsville, AL 35801",399000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/3030-Cliffs-Edge-Cir-Huntsville-AL-35801/2077838700_zpid/,119
"2211 Georgian Dr SE, Huntsville, AL 35801",989000,House for sale,5,7,7142,35801,https://www.zillow.com/homedetails/2211-Georgian-Dr-SE-Huntsville-AL-35801/109336375_zpid/,119
"1701 Randolph Ave SE, Huntsville, AL 35801",93000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/1701-Randolph-Ave-SE-Huntsville-AL-35801/92117699_zpid/,119
"1600 Big Cove Rd SE, Huntsville, AL 35801",599000,House for sale,4,4,2614,35801,https://www.zillow.com/homedetails/1600-Big-Cove-Rd-SE-Huntsville-AL-35801/109447064_zpid/,119
"2205 Old Wagon Rd, Huntsville, AL 35801",325000,For sale by owner,,,,35801,https://www.zillow.com/homedetails/2205-Old-Wagon-Rd-Huntsville-AL-35801/109444695_zpid/,119
"4207 Chickasaw Dr, Huntsville, AL 35801",339900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/4207-Chickasaw-Dr-Huntsville-AL-35801/2078347487_zpid/,119
"2011 Wooddale Dr NE, Huntsville, AL 35801",65000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/2011-Wooddale-Dr-NE-Huntsville-AL-35801/109502893_zpid/,119
"1611 Chandler Rd SE, Huntsville, AL 35801",70000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/1611-Chandler-Rd-SE-Huntsville-AL-35801/109444566_zpid/,119
"0 SE Fearn St, Huntsville, AL 35801",140000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/0-SE-Fearn-St-Huntsville-AL-35801/2080886491_zpid/,119
"0 Chandler Rd SE, Huntsville, AL 35801",130000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/0-Chandler-Rd-SE-Huntsville-AL-35801/2079185492_zpid/,119
"2228 Briarcliff Rd SE, Huntsville, AL 35801",199000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/2228-Briarcliff-Rd-SE-Huntsville-AL-35801/92161803_zpid/,119
"1610 Chandler Rd SE, Huntsville, AL 35801",70000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/1610-Chandler-Rd-SE-Huntsville-AL-35801/109217843_zpid/,119
"2601 Highpoint Dr SE, Huntsville, AL 35801",155000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/2601-Highpoint-Dr-SE-Huntsville-AL-35801/92084991_zpid/,119
"708 Cross St NW, Huntsville, AL 35801",64900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/708-Cross-St-NW-Huntsville-AL-35801/109261694_zpid/,119
"3735 Railway Ave SE, Huntsville, AL 35801",199000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/3735-Railway-Ave-SE-Huntsville-AL-35801/109405964_zpid/,119
"3726 Railway Ave SE, Huntsville, AL 35801",199000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/3726-Railway-Ave-SE-Huntsville-AL-35801/109521449_zpid/,119
"A & B Monte Sano Blvd, Huntsville, AL 35801",174700,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/A-B-Monte-Sano-Blvd-Huntsville-AL-35801/2078732418_zpid/,119
"33 Darlington Rd, Huntsville, AL 35801",35900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/33-Darlington-Rd-Huntsville-AL-35801/2081237290_zpid/,119
"40 Darlington Rd, Huntsville, AL 35801",41900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/40-Darlington-Rd-Huntsville-AL-35801/2081238969_zpid/,119
"10 Georgetta Cir SE, Huntsville, AL 35801",89900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/10-Georgetta-Cir-SE-Huntsville-AL-35801/2087915323_zpid/,119
"35 Darlington Rd, Huntsville, AL 35801",40900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/35-Darlington-Rd-Huntsville-AL-35801/2081238967_zpid/,119
"0 SE Newman Ave, Huntsville, AL 35801",325000,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/0-SE-Newman-Ave-Huntsville-AL-35801/2090862450_zpid/,119
"14 Georgetta Dr SE, Huntsville, AL 35801",176900,Lot / Land for sale,,,,35801,https://www.zillow.com/homedetails/14-Georgetta-Dr-SE-Huntsville-AL-35801/2085472686_zpid/,119
