location,price,type,bds,ba,area,zip_code,url,total_found
"3700 Cantrell Rd APT 1002, Little Rock, AR 72202",740000,Townhouse for sale,2,3,2866,72217,https://www.zillow.com/homedetails/3700-Cantrell-Rd-APT-1002-Little-Rock-AR-72202/2080351609_zpid/,256
"23 Woodglen Rd, Little Rock, AR 72207",185000,Lot / Land for sale,,,,72217,https://www.zillow.com/homedetails/23-Woodglen-Rd-Little-Rock-AR-72207/2083344733_zpid/,256
"3121 W 12th St, Little Rock, AR 72204",25000,Lot / Land for sale,,,,72217,https://www.zillow.com/homedetails/3121-W-12th-St-Little-Rock-AR-72204/309948_zpid/,256
"3700 Cantrell Rd #1104, Little Rock, AR 72202",789000,Townhouse for sale,2,3,2866,72217,https://www.zillow.com/homedetails/3700-Cantrell-Rd-1104-Little-Rock-AR-72202/2080351117_zpid/,256
"3700 Cantrell Rd #901, Little Rock, AR 72202",720000,Townhouse for sale,3,3,2866,72217,https://www.zillow.com/homedetails/3700-Cantrell-Rd-901-Little-Rock-AR-72202/2078186061_zpid/,256
"48 Woodglen Rd, Little Rock, AR 72207",195000,Lot / Land for sale,,,,72217,https://www.zillow.com/homedetails/48-Woodglen-Rd-Little-Rock-AR-72207/2083344731_zpid/,256
"Vantage Pt LOT 119, Little Rock, AR 72207",85000,Lot / Land for sale,,,,72217,https://www.zillow.com/homedetails/Vantage-Pt-LOT-119-Little-Rock-AR-72207/2098843845_zpid/,256
"1.53 Acres Hwy #70, North Little Rock, AR 72217",399900,Lot / Land for sale,,,,72217,https://www.zillow.com/homedetails/1-53-Acres-Hwy-70-North-Little-Rock-AR-72217/2081919129_zpid/,256
"3700 Cantrell Rd #903, Little Rock, AR 72202",720000,Townhouse for sale,3,3,2866,72217,https://www.zillow.com/homedetails/3700-Cantrell-Rd-903-Little-Rock-AR-72202/2078185989_zpid/,256
"2.21 Acres Hwy #70, North Little Rock, AR 72217",499900,Lot / Land for sale,,,,72217,https://www.zillow.com/homedetails/2-21-Acres-Hwy-70-North-Little-Rock-AR-72217/2081919164_zpid/,256
"8 Nob View Cir, Little Rock, AR 72205",212682,Pre-foreclosure,4,3,2387,72217,https://www.zillow.com/homedetails/8-Nob-View-Cir-Little-Rock-AR-72205/341449_zpid/,256
"46 Nob View Cir, Little Rock, AR 72205",585666,Pre-foreclosure,5,3,2370,72217,https://www.zillow.com/homedetails/46-Nob-View-Cir-Little-Rock-AR-72205/341417_zpid/,256
"5719 S Country Club Blvd, Little Rock, AR 72207",435093,Foreclosed,3,3,2131,72217,https://www.zillow.com/homedetails/5719-S-Country-Club-Blvd-Little-Rock-AR-72207/287033_zpid/,256
"3224 W 11th St, Little Rock, AR 72204",116960,Pre-foreclosure,,2,2420,72217,https://www.zillow.com/homedetails/3224-W-11th-St-Little-Rock-AR-72204/309910_zpid/,256
"1705 Iris St, Little Rock, AR 72202",165331,Pre-foreclosure,2,2,1196,72217,https://www.zillow.com/homedetails/1705-Iris-St-Little-Rock-AR-72202/289301_zpid/,256
"4104 Kenyon Dr, Little Rock, AR 72205",474013,Pre-foreclosure,3,3,2805,72217,https://www.zillow.com/homedetails/4104-Kenyon-Dr-Little-Rock-AR-72205/288740_zpid/,256
"7024 Hillwood Rd, Little Rock, AR 72207",164060,Pre-foreclosure,3,2,975,72217,https://www.zillow.com/homedetails/7024-Hillwood-Rd-Little-Rock-AR-72207/334546_zpid/,256
"222 Beckwood Dr, Little Rock, AR 72205",218959,Pre-foreclosure,3,2,1852,72217,https://www.zillow.com/homedetails/222-Beckwood-Dr-Little-Rock-AR-72205/344039_zpid/,256
"3901 Cedar Hill Rd, Little Rock, AR 72202",308438,Pre-foreclosure,3,3,2100,72217,https://www.zillow.com/homedetails/3901-Cedar-Hill-Rd-Little-Rock-AR-72202/79794444_zpid/,256
"723 S Mississippi St, Little Rock, AR 72205",402688,Pre-foreclosure,,2,2122,72217,https://www.zillow.com/homedetails/723-S-Mississippi-St-Little-Rock-AR-72205/344703_zpid/,256
"3224 W 11th St, Little Rock, AR 72204",116960,Pre-foreclosure,,2,2420,72217,https://www.zillow.com/homedetails/3224-W-11th-St-Little-Rock-AR-72204/309910_zpid/,256
"7 Oriole Cir, Little Rock, AR 72205",140430,Pre-foreclosure,,1,1222,72217,https://www.zillow.com/homedetails/7-Oriole-Cir-Little-Rock-AR-72205/344831_zpid/,256
"16 Tomahawk Rd, Little Rock, AR 72205",142346,Pre-foreclosure,3,1,1228,72217,https://www.zillow.com/homedetails/16-Tomahawk-Rd-Little-Rock-AR-72205/344624_zpid/,256
"1412 S Harrison St, Little Rock, AR 72204",96547,Pre-foreclosure,,2,1160,72217,https://www.zillow.com/homedetails/1412-S-Harrison-St-Little-Rock-AR-72204/311393_zpid/,256
"812 Ouachita Cir, Little Rock, AR 72205",165169,Pre-foreclosure,,2,1954,72217,https://www.zillow.com/homedetails/812-Ouachita-Cir-Little-Rock-AR-72205/344709_zpid/,256
"505 Thayer St, Little Rock, AR 72205",123896,Pre-foreclosure,2,2,1197,72217,https://www.zillow.com/homedetails/505-Thayer-St-Little-Rock-AR-72205/307998_zpid/,256
"1900 S Buchanan St, Little Rock, AR 72204",108705,Pre-foreclosure,3,2,1513,72217,https://www.zillow.com/homedetails/1900-S-Buchanan-St-Little-Rock-AR-72204/312248_zpid/,256
"7213 Missouri Ave, Little Rock, AR 72207",110588,Foreclosed,3,2,1053,72217,https://www.zillow.com/homedetails/7213-Missouri-Ave-Little-Rock-AR-72207/342220_zpid/,256
"1006 Loretta Ln, Little Rock, AR 72227",217585,Pre-foreclosure,,2,1548,72217,https://www.zillow.com/homedetails/1006-Loretta-Ln-Little-Rock-AR-72227/341339_zpid/,256
"8 Nob View Cir, Little Rock, AR 72205",212682,Pre-foreclosure,4,3,2387,72217,https://www.zillow.com/homedetails/8-Nob-View-Cir-Little-Rock-AR-72205/341449_zpid/,256
"5719 S Country Club Blvd, Little Rock, AR 72207",435093,Foreclosed,3,3,2131,72217,https://www.zillow.com/homedetails/5719-S-Country-Club-Blvd-Little-Rock-AR-72207/287033_zpid/,256
"7024 Hillwood Rd, Little Rock, AR 72207",164060,Pre-foreclosure,3,2,975,72217,https://www.zillow.com/homedetails/7024-Hillwood-Rd-Little-Rock-AR-72207/334546_zpid/,256
"1705 Iris St, Little Rock, AR 72202",165331,Pre-foreclosure,2,2,1196,72217,https://www.zillow.com/homedetails/1705-Iris-St-Little-Rock-AR-72202/289301_zpid/,256
"4104 Kenyon Dr, Little Rock, AR 72205",474013,Pre-foreclosure,3,3,2805,72217,https://www.zillow.com/homedetails/4104-Kenyon-Dr-Little-Rock-AR-72205/288740_zpid/,256
"222 Beckwood Dr, Little Rock, AR 72205",218959,Pre-foreclosure,3,2,1852,72217,https://www.zillow.com/homedetails/222-Beckwood-Dr-Little-Rock-AR-72205/344039_zpid/,256
"2854 Trigo Way, Sacramento, CA 95833",455000,House for sale,3,3,1836,94203,https://www.zillow.com/homedetails/2854-Trigo-Way-Sacramento-CA-95833/26088690_zpid/,236
"3624 34th St, Sacramento, CA 95817",475000,Apartment for sale,4,2,1872,94203,https://www.zillow.com/homedetails/3624-34th-St-Sacramento-CA-95817/25798725_zpid/,236
"2143 7th Ave, Sacramento, CA 95818",649900,House for sale,3,2,1412,94203,https://www.zillow.com/homedetails/2143-7th-Ave-Sacramento-CA-95818/111434085_zpid/,236
"1558 Cedarbrook Rd, West Sacramento, CA 95691",465000,House for sale,3,2,1656,94203,https://www.zillow.com/homedetails/1558-Cedarbrook-Rd-West-Sacramento-CA-95691/61225301_zpid/,236
"600 11th St, West Sacramento, CA 95691",359888,House for sale,3,1,1083,94203,https://www.zillow.com/homedetails/600-11th-St-West-Sacramento-CA-95691/16534116_zpid/,236
"3101 San Rafael Ct, Sacramento, CA 95817",200000,House for sale,2,1,730,94203,https://www.zillow.com/homedetails/3101-San-Rafael-Ct-Sacramento-CA-95817/25800049_zpid/,236
"516 13th St, Sacramento, CA 95814",595000,House for sale,4,3,1377,94203,https://www.zillow.com/homedetails/516-13th-St-Sacramento-CA-95814/25777459_zpid/,236
"2621 28th St, Sacramento, CA 95818",879000,Apartment for sale,4,,650,94203,https://www.zillow.com/homedetails/2621-28th-St-Sacramento-CA-95818/2095801663_zpid/,236
"250 Santiago Ave, Sacramento, CA 95815",245000,House for sale,3,1,973,94203,https://www.zillow.com/homedetails/250-Santiago-Ave-Sacramento-CA-95815/26078118_zpid/,236
"3845 9th Ave, Sacramento, CA 95817",675000,House for sale,3,4,2832,94203,https://www.zillow.com/homedetails/3845-9th-Ave-Sacramento-CA-95817/249345786_zpid/,236
"2161 34th St, Sacramento, CA 95817",479000,Apartment for sale,4,2,1820,94203,https://www.zillow.com/homedetails/2161-34th-St-Sacramento-CA-95817/25790670_zpid/,236
"357 Crate Ave, Sacramento, CA 95818",444900,Condo for sale,2,3,1045,94203,https://www.zillow.com/homedetails/357-Crate-Ave-Sacramento-CA-95818/300343246_zpid/,236
"2132 Perkins Way, Sacramento, CA 95818",459000,House for sale,2,1,767,94203,https://www.zillow.com/homedetails/2132-Perkins-Way-Sacramento-CA-95818/25797347_zpid/,236
"601 Hardy Dr, West Sacramento, CA 95605",280000,House for sale,3,1,990,94203,https://www.zillow.com/homedetails/601-Hardy-Dr-West-Sacramento-CA-95605/16515089_zpid/,236
"2517 8th Ave, Sacramento, CA 95818",499990,House for sale,2,1,1146,94203,https://www.zillow.com/homedetails/2517-8th-Ave-Sacramento-CA-95818/25797924_zpid/,236
"2221 5th St, Sacramento, CA 95818",726163,New construction,3,3,2190,94203,https://www.zillow.com/homedetails/2221-5th-St-Sacramento-CA-95818/325579825_zpid/,236
"2111 28th St, Sacramento, CA 95818",615000,House for sale,4,3,2079,94203,https://www.zillow.com/homedetails/2111-28th-St-Sacramento-CA-95818/148175557_zpid/,236
"1121 Hawk Ave, Sacramento, CA 95833",375000,House for sale,4,2,1900,94203,https://www.zillow.com/homedetails/1121-Hawk-Ave-Sacramento-CA-95833/26087755_zpid/,236
"998 Central St, West Sacramento, CA 95691",571500,New construction,2,3,1588,94203,https://www.zillow.com/homedetails/998-Central-St-West-Sacramento-CA-95691/2077816758_zpid/,236
"987 Central St, West Sacramento, CA 95691",605000,New construction,2,3,1615,94203,https://www.zillow.com/homedetails/987-Central-St-West-Sacramento-CA-95691/2077816757_zpid/,236
"3149 U St, Sacramento, CA 95817",425000,House for sale,2,1,1106,94203,https://www.zillow.com/homedetails/3149-U-St-Sacramento-CA-95817/25790630_zpid/,236
"Plan / B3 Plan, 9th & Broadway",849000,New construction,3,3,1925,94203,https://www.zillow.com/community/9th-broadway/2078855730_zpid/,236
"1508-1510 U St, Sacramento, CA 95818",764000,Apartment for sale,,,,94203,https://www.zillow.com/homedetails/1508-1510-U-St-Sacramento-CA-95818/2079985092_zpid/,236
"506 Alisal Ln, Sacramento, CA 95814",558463,New construction,2,3,1521,94203,https://www.zillow.com/homedetails/506-Alisal-Ln-L2Z22R-Sacramento-CA-95814/2077827465_zpid/,236
"1900 7th St, Sacramento, CA 95811",435000,House for sale,2,1,936,94203,https://www.zillow.com/homedetails/1900-7th-St-Sacramento-CA-95811/25788615_zpid/,236
"1508 U St, Sacramento, CA 95818",764000,Apartment for sale,4,,1994,94203,https://www.zillow.com/homedetails/1508-U-St-Sacramento-CA-95818/25789072_zpid/,236
"3125 Carly Way, Sacramento, CA 95816",499900,House for sale,2,2,1040,94203,https://www.zillow.com/homedetails/3125-Carly-Way-Sacramento-CA-95816/25784602_zpid/,236
"2209 Edgewater Rd, Sacramento, CA 95815",229000,House for sale,2,1,540,94203,https://www.zillow.com/homedetails/2209-Edgewater-Rd-Sacramento-CA-95815/26089414_zpid/,236
"Plan C Plan, 14E",599990,New construction,2,3,1521,94203,https://www.zillow.com/community/14e/2079573949_zpid/,236
"2620 18th St, Sacramento, CA 95818",795000,House for sale,3,2,1576,94203,https://www.zillow.com/homedetails/2620-18th-St-Sacramento-CA-95818/25789584_zpid/,236
"2230 H St, Sacramento, CA 95816",649999,House for sale,3,2,2143,94203,https://www.zillow.com/homedetails/2230-H-St-Sacramento-CA-95816/25783764_zpid/,236
"3735 Martin Luther King Jr Blvd, Sacramento, CA 95820",294000,House for sale,2,1,1143,94203,https://www.zillow.com/homedetails/3735-Martin-Luther-King-Jr-Blvd-Sacramento-CA-95820/25800698_zpid/,236
"2929 Muir Way, Sacramento, CA 95818",849000,House for sale,3,2,1797,94203,https://www.zillow.com/homedetails/2929-Muir-Way-Sacramento-CA-95818/25794969_zpid/,236
"2722 26th St, Sacramento, CA 95818",775000,Apartment for sale,6,,2605,94203,https://www.zillow.com/homedetails/2722-26th-St-Sacramento-CA-95818/25791592_zpid/,236
"0 E St, Sacramento, CA 95811",250000,Lot / Land for sale,,,,94203,https://www.zillow.com/homedetails/0-E-St-Sacramento-CA-95811/2082220562_zpid/,236
"2005 E St, Sacramento, CA 95811",995000,House for sale,5,4,3004,94203,https://www.zillow.com/homedetails/2005-E-St-Sacramento-CA-95811/25778126_zpid/,236
"611 26th St, Sacramento, CA 95816",528000,House for sale,2,1,1036,94203,https://www.zillow.com/homedetails/611-26th-St-Sacramento-CA-95816/25778776_zpid/,236
"262 W El Camino Ave, Sacramento, CA 95833",325000,House for sale,3,2,1262,94203,https://www.zillow.com/homedetails/262-W-El-Camino-Ave-Sacramento-CA-95833/26087962_zpid/,236
"Plan A Plan, 14E",629990,New construction,2,4,1555,94203,https://www.zillow.com/community/14e/2079573953_zpid/,236
"Residence 1 Plan, Icon @ 14th & C",569990,New construction,2,3,1618,94203,https://www.zillow.com/community/icon-14th-c/2079580321_zpid/,236
"2705 T St, Sacramento, CA 95816",525000,Apartment for sale,2,,,94203,https://www.zillow.com/homedetails/2705-T-St-Sacramento-CA-95816/2077887256_zpid/,236
"3216 Santa Cruz Way, Sacramento, CA 95817",225000,House for sale,2,1,695,94203,https://www.zillow.com/homedetails/3216-Santa-Cruz-Way-Sacramento-CA-95817/25799993_zpid/,236
"417 Westacre Rd #30, West Sacramento, CA 95691",28000,Home for sale,3,2,768,94203,https://www.zillow.com/homedetails/417-Westacre-Rd-30-West-Sacramento-CA-95691/2078134987_zpid/,236
"226 21st St, Sacramento, CA 95811",525000,House for sale,2,2,864,94203,https://www.zillow.com/homedetails/226-21st-St-Sacramento-CA-95811/25777689_zpid/,236
"3735 Martin Luther King Jr Blvd, Sacramento, CA 95820",294000,House for sale,2,1,1143,94203,https://www.zillow.com/homedetails/3735-Martin-Luther-King-Jr-Blvd-Sacramento-CA-95820/25800698_zpid/,236
"1508 U St, Sacramento, CA 95818",764000,Apartment for sale,4,,1994,94203,https://www.zillow.com/homedetails/1508-U-St-Sacramento-CA-95818/25789072_zpid/,236
"1341 37th St, Sacramento, CA 95816",1299000,House for sale,5,4,2700,94203,https://www.zillow.com/homedetails/1341-37th-St-Sacramento-CA-95816/25787010_zpid/,236
"987 Central St, West Sacramento, CA 95691",605000,New construction,2,3,1615,94203,https://www.zillow.com/homedetails/987-Central-St-West-Sacramento-CA-95691/2077816757_zpid/,236
"4041 11th Ave, Sacramento, CA 95817",339500,House for sale,2,1,1228,94203,https://www.zillow.com/homedetails/4041-11th-Ave-Sacramento-CA-95817/25800479_zpid/,236
"2014 29th St, Sacramento, CA 95817",499000,House for sale,3,3,1558,94203,https://www.zillow.com/homedetails/2014-29th-St-Sacramento-CA-95817/25790530_zpid/,236
"3309 E Curtis Dr, Sacramento, CA 95818",1015000,House for sale,3,3,2213,94203,https://www.zillow.com/homedetails/3309-E-Curtis-Dr-Sacramento-CA-95818/25797992_zpid/,236
"506 Alisal Ln, Sacramento, CA 95814",558463,New construction,2,3,1521,94203,https://www.zillow.com/homedetails/506-Alisal-Ln-L2Z22R-Sacramento-CA-95814/2077827465_zpid/,236
"410 18th St, Sacramento, CA 95811",510000,Condo for sale,3,3,1468,94203,https://www.zillow.com/homedetails/410-18th-St-Sacramento-CA-95811/82885060_zpid/,236
"3324 S St, Sacramento, CA 95816",529900,House for sale,2,2,1005,94203,https://www.zillow.com/homedetails/3324-S-St-Sacramento-CA-95816/25790250_zpid/,236
"3304 San Carlos Way, Sacramento, CA 95817",339900,House for sale,3,1,1180,94203,https://www.zillow.com/homedetails/3304-San-Carlos-Way-Sacramento-CA-95817/25800221_zpid/,236
"2986 39th St, Sacramento, CA 95817",389900,House for sale,2,1,948,94203,https://www.zillow.com/homedetails/2986-39th-St-Sacramento-CA-95817/25799769_zpid/,236
"3117 B St, Sacramento, CA 95816",459000,House for sale,3,2,1038,94203,https://www.zillow.com/homedetails/3117-B-St-Sacramento-CA-95816/25777667_zpid/,236
"1555 32nd St, Sacramento, CA 95816",599888,House for sale,3,2,1388,94203,https://www.zillow.com/homedetails/1555-32nd-St-Sacramento-CA-95816/25785016_zpid/,236
"1380 Milano Dr UNIT 3, West Sacramento, CA 95691",355000,For sale by owner,2,2,1519,94203,https://www.zillow.com/homedetails/1380-Milano-Dr-UNIT-3-West-Sacramento-CA-95691/68574003_zpid/,236
"2530 San Fernando Way, Sacramento, CA 95818",599000,House for sale,3,3,1574,94203,https://www.zillow.com/homedetails/2530-San-Fernando-Way-Sacramento-CA-95818/300342988_zpid/,236
"1508-1510 U St, Sacramento, CA 95818",764000,Apartment for sale,,,,94203,https://www.zillow.com/homedetails/1508-1510-U-St-Sacramento-CA-95818/2079985092_zpid/,236
"2325 Coconut Way, Sacramento, CA 95833",455000,House for sale,3,3,1971,94203,https://www.zillow.com/homedetails/2325-Coconut-Way-Sacramento-CA-95833/26088707_zpid/,236
"3246 Deforest Way, Sacramento, CA 95816",924000,House for sale,3,4,2293,94203,https://www.zillow.com/homedetails/3246-Deforest-Way-Sacramento-CA-95816/157721109_zpid/,236
"3004 N Portola Way, Sacramento, CA 95817",499000,House for sale,3,3,1187,94203,https://www.zillow.com/homedetails/3004-N-Portola-Way-Sacramento-CA-95817/2078508723_zpid/,236
"3429 Folsom Blvd, Sacramento, CA 95816",658999,House for sale,2,2,1557,94203,https://www.zillow.com/homedetails/3429-Folsom-Blvd-Sacramento-CA-95816/25784683_zpid/,236
"4128 Catala Way, Sacramento, CA 95817",569999,House for sale,3,2,1517,94203,https://www.zillow.com/homedetails/4128-Catala-Way-Sacramento-CA-95817/25799596_zpid/,236
"1907 P St, Sacramento, CA 95811",949900,Apartment for sale,4,,350,94203,https://www.zillow.com/homedetails/1907-P-St-Sacramento-CA-95811/25784791_zpid/,236
"2126 I St, Sacramento, CA 95816",1295000,House for sale,4,5,4732,94203,https://www.zillow.com/homedetails/2126-I-St-Sacramento-CA-95816/51591927_zpid/,236
"484 Tailoff Ln, Sacramento, CA 95818",393000,Condo for sale,2,2,1004,94203,https://www.zillow.com/homedetails/484-Tailoff-Ln-Sacramento-CA-95818/240358183_zpid/,236
"1710 24th St, Sacramento, CA 95816",519000,Condo for sale,2,2,915,94203,https://www.zillow.com/homedetails/1710-24th-St-Sacramento-CA-95816/25785214_zpid/,236
"412 Lug Ln, Sacramento, CA 95818",410000,Condo for sale,2,3,1117,94203,https://www.zillow.com/homedetails/412-Lug-Ln-Sacramento-CA-95818/157721752_zpid/,236
"471 Tailoff Ln #99A, Sacramento, CA 95818",395000,Condo for sale,2,3,1009,94203,https://www.zillow.com/homedetails/471-Tailoff-Ln-99A-Sacramento-CA-95818/2077975797_zpid/,236
"200 P St APT A-32, Sacramento, CA 95814",450000,Condo for sale,2,2,1814,94203,https://www.zillow.com/homedetails/200-P-St-APT-A-32-Sacramento-CA-95814/148168075_zpid/,236
"1712 Fat Aly, Sacramento, CA 95811",724900,House for sale,3,4,2041,94203,https://www.zillow.com/homedetails/1712-Fat-Aly-Sacramento-CA-95811/250744595_zpid/,236
"3609 37th St, Sacramento, CA 95817",210000,House for sale,2,1,644,94203,https://www.zillow.com/homedetails/3609-37th-St-Sacramento-CA-95817/25798811_zpid/,236
"929 T St, Sacramento, CA 95811",489000,Townhouse for sale,3,3,1485,94203,https://www.zillow.com/homedetails/929-T-St-Sacramento-CA-95811/61328750_zpid/,236
"1201 Q St, Sacramento, CA 95811",765000,House for sale,3,4,2197,94203,https://www.zillow.com/homedetails/1201-Q-St-Sacramento-CA-95811/54909054_zpid/,236
"948 Q St, Sacramento, CA 95811",449900,Townhouse for sale,2,2,1170,94203,https://www.zillow.com/homedetails/948-Q-St-Sacramento-CA-95811/25783645_zpid/,236
"1013 V St, Sacramento, CA 95818",750000,Apartment for sale,4,2,2184,94203,https://www.zillow.com/homedetails/1013-V-St-Sacramento-CA-95818/25788944_zpid/,236
"3000 3rd Ave, Sacramento, CA 95817",699000,Apartment for sale,3,3,1527,94203,https://www.zillow.com/homedetails/3000-3rd-Ave-Sacramento-CA-95817/25791618_zpid/,236
"3527 Riverside Blvd, Sacramento, CA 95818",869800,Apartment for sale,6,,3233,94203,https://www.zillow.com/homedetails/3527-Riverside-Blvd-Sacramento-CA-95818/25796057_zpid/,236
"2901 Bergamo Way, Sacramento, CA 95833",525000,House for sale,4,3,1985,94203,https://www.zillow.com/homedetails/2901-Bergamo-Way-Sacramento-CA-95833/26089093_zpid/,236
"2105 Gerber Ave, Sacramento, CA 95817",459000,House for sale,2,1,1014,94203,https://www.zillow.com/homedetails/2105-Gerber-Ave-Sacramento-CA-95817/25798892_zpid/,236
"2672 Pickering Way, Sacramento, CA 95833",495000,House for sale,3,2,1870,94203,https://www.zillow.com/homedetails/2672-Pickering-Way-Sacramento-CA-95833/51599660_zpid/,236
"2105 Powerhouse Aly, Sacramento, CA 95811",689900,House for sale,3,3,1781,94203,https://www.zillow.com/homedetails/2105-Powerhouse-Aly-Sacramento-CA-95811/240358526_zpid/,236
"1019 Broadway, Sacramento, CA 95818",559000,House for sale,2,3,1326,94203,https://www.zillow.com/homedetails/1019-Broadway-Sacramento-CA-95818/249347255_zpid/,236
"1428 Vallejo Way, Sacramento, CA 95818",799000,Apartment for sale,4,,1400,94203,https://www.zillow.com/homedetails/1428-Vallejo-Way-Sacramento-CA-95818/25795103_zpid/,236
"560 Westlake Dr, West Sacramento, CA 95605",650000,House for sale,4,3,2858,94203,https://www.zillow.com/homedetails/560-Westlake-Dr-West-Sacramento-CA-95605/68566949_zpid/,236
"2630 41st St, Sacramento, CA 95817",429000,House for sale,2,1,1060,94203,https://www.zillow.com/homedetails/2630-41st-St-Sacramento-CA-95817/25799350_zpid/,236
"2300 N St, Sacramento, CA 95816",1150000,Apartment for sale,8,,3956,94203,https://www.zillow.com/homedetails/2300-N-St-Sacramento-CA-95816/148169597_zpid/,236
"1225 F St, Sacramento, CA 95814",1650000,House for sale,8,8,4209,94203,https://www.zillow.com/homedetails/1225-F-St-Sacramento-CA-95814/25777464_zpid/,236
"3808 S St, Sacramento, CA 95816",639000,House for sale,2,2,1562,94203,https://www.zillow.com/homedetails/3808-S-St-Sacramento-CA-95816/25791742_zpid/,236
"3340 S St, Sacramento, CA 95816",569990,House for sale,3,3,1450,94203,https://www.zillow.com/homedetails/3340-S-St-Sacramento-CA-95816/300346893_zpid/,236
"711 22nd St, Sacramento, CA 95816",1199900,Apartment for sale,6,6,3432,94203,https://www.zillow.com/homedetails/711-22nd-St-Sacramento-CA-95816/25778662_zpid/,236
"1818 L St UNIT 602, Sacramento, CA 95811",445000,Condo for sale,1,1,749,94203,https://www.zillow.com/homedetails/1818-L-St-UNIT-602-Sacramento-CA-95811/82889392_zpid/,236
"431 Tailoff Ln #401, Sacramento, CA 95818",570479,Condo for sale,3,3,1503,94203,https://www.zillow.com/homedetails/431-Tailoff-Ln-401-Sacramento-CA-95818/2078166207_zpid/,236
"464 Lug Ln #42B, Sacramento, CA 95818",415000,Condo for sale,2,3,1116,94203,https://www.zillow.com/homedetails/464-Lug-Ln-42B-Sacramento-CA-95818/2078455190_zpid/,236
"1322 D St, Sacramento, CA 95814",649900,Apartment for sale,4,,2287,94203,https://www.zillow.com/homedetails/1322-D-St-Sacramento-CA-95814/25777474_zpid/,236
"792 Alloy Ct, West Sacramento, CA 95691",439900,House for sale,2,2,1300,94203,https://www.zillow.com/homedetails/792-Alloy-Ct-West-Sacramento-CA-95691/72560123_zpid/,236
"788 Dolomite Ct, West Sacramento, CA 95691",419000,House for sale,2,3,1300,94203,https://www.zillow.com/homedetails/788-Dolomite-Ct-West-Sacramento-CA-95691/72557380_zpid/,236
"0 E St, Sacramento, CA 95811",250000,Lot / Land for sale,,,,94203,https://www.zillow.com/homedetails/0-E-St-Sacramento-CA-95811/2082220562_zpid/,236
"1429 Garden Hwy, Sacramento, CA 95833",1375000,Condo for sale,3,3,2226,94203,https://www.zillow.com/homedetails/1429-Garden-Hwy-Sacramento-CA-95833/96030441_zpid/,236
"902 Del Paso Blvd SPACE 122, Sacramento, CA 95815",55000,Home for sale,1,1,528,94203,https://www.zillow.com/homedetails/902-Del-Paso-Blvd-SPACE-122-Sacramento-CA-95815/59384632_zpid/,236
"431 Tailoff Ln #202, Sacramento, CA 95818",384817,Condo for sale,2,2,1156,94203,https://www.zillow.com/homedetails/431-Tailoff-Ln-202-Sacramento-CA-95818/2078243545_zpid/,236
"2018 G St, Sacramento, CA 95811",1075000,Apartment for sale,4,,,94203,https://www.zillow.com/homedetails/2018-G-St-Sacramento-CA-95811/2077895617_zpid/,236
"1915 5th St, Sacramento, CA 95811",799900,New construction,3,4,1993,94203,https://www.zillow.com/homedetails/1915-5th-St-Sacramento-CA-95811/124741645_zpid/,236
"2624 Cleat Ln, Sacramento, CA 95818",469000,Townhouse for sale,2,2,1451,94203,https://www.zillow.com/homedetails/2624-Cleat-Ln-Sacramento-CA-95818/157721443_zpid/,236
"2722 26th St, Sacramento, CA 95818",775000,Apartment for sale,6,,2605,94203,https://www.zillow.com/homedetails/2722-26th-St-Sacramento-CA-95818/25791592_zpid/,236
"Residence 1 Plan, Icon @ 14th & C",569990,New construction,2,3,1618,94203,https://www.zillow.com/community/icon-14th-c/2079580321_zpid/,236
"1050 W Capitol Ave SPACE 62, West Sacramento, CA 95691",65000,Home for sale,2,1,1000,94203,https://www.zillow.com/homedetails/1050-W-Capitol-Ave-SPACE-62-West-Sacramento-CA-95691/201607079_zpid/,236
"301 Webster St, West Sacramento, CA 95691",1200000,House for sale,3,2,1090,94203,https://www.zillow.com/homedetails/301-Webster-St-West-Sacramento-CA-95691/16533183_zpid/,236
"3332 S St, Sacramento, CA 95816",559900,House for sale,2,3,1450,94203,https://www.zillow.com/homedetails/3332-S-St-Sacramento-CA-95816/300346300_zpid/,236
"3260 V St, Sacramento, CA 95817",599900,House for sale,4,2,1869,94203,https://www.zillow.com/homedetails/3260-V-St-Sacramento-CA-95817/25790862_zpid/,236
"1050 W Capitol Ave SPACE 129, West Sacramento, CA 95691",40000,Home for sale,2,1,720,94203,https://www.zillow.com/homedetails/1050-W-Capitol-Ave-SPACE-129-West-Sacramento-CA-95691/201607516_zpid/,236
"1427 W St, Sacramento, CA 95818",699000,Condo for sale,3,3,1976,94203,https://www.zillow.com/homedetails/1427-W-St-Sacramento-CA-95818/325579450_zpid/,236
"2005 Q St, Sacramento, CA 95811",875000,Condo for sale,3,3,2621,94203,https://www.zillow.com/homedetails/2005-Q-St-Sacramento-CA-95811/240357801_zpid/,236
"1908 34th St, Sacramento, CA 95816",569990,House for sale,3,4,1792,94203,https://www.zillow.com/homedetails/1908-34th-St-Sacramento-CA-95816/300343822_zpid/,236
"868 Rivercrest Dr, West Sacramento, CA 95605",380000,Lot / Land for sale,,,,94203,https://www.zillow.com/homedetails/868-Rivercrest-Dr-West-Sacramento-CA-95605/201566323_zpid/,236
"2229 5th St, Sacramento, CA 95818",877094,New construction,4,4,2811,94203,https://www.zillow.com/homedetails/2229-5th-St-Sacramento-CA-95818/2078291499_zpid/,236
